stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
189,1266,SUMMER ST + KENDALL ST,,42.273705,-71.796864,,,,,,0
190,1192,SUMMER ST + 51 SUMMER ST,,42.269374,-71.796846,,,,,,0
191,1016,SUMMER ST + THOMAS ST,,42.268264,-71.796056,,,,,,0
192,1014,SUMMER ST + HAMPTON INN,,42.267052,-71.795818,,,,,,0
194,638,MAIN ST + SUDBURY ST,,42.266541,-71.801005,,,,,,0
195,639,MAIN ST + MAPLE ST,,42.265198,-71.801481,,,,,,0
196,621,Main St + City Hall,,42.26308,-71.80221,,,,,,0
198,1265,BROOK ST + HIGGINS ST,,42.319387,-71.800778,,,,,,0
199,572,MAIN ST + FOSTER ST,,42.265563,-71.801243,,,,,,0
200,1013,SUMMER ST + EAST CENTRAL ST,,42.26705,-71.795593,,,,,,0
201,1015,SUMMER ST + PROSPECT ST,,42.268256,-71.795943,,,,,,0
202,1232,SUMMER ST + KENDALL ST,,42.273701,-71.796721,,,,,,0
203,519,Lincoln St at Catherine,,42.276443,-71.795323,,,,,,0
204,520,Lincoln St at Foresdale,,42.277683,-71.794505,,,,,,0
205,521,Lincoln St at Forbes,,42.279368,-71.793558,,,,,,0
206,522,Lincoln St at Greenhill,,42.281568,-71.792653,,,,,,0
207,523,Lincoln St at McKinley,,42.283118,-71.792048,,,,,,0
209,525,Lincoln St at Brittan,,42.286066,-71.790793,,,,,,0
210,49,BURNCOAT ST + MELVILLE ST,,42.288006,-71.790698,,,,,,0
211,50,BURNCOAT ST + RANKIN ST,,42.289289,-71.79051,,,,,,0
212,51,BURNCOAT ST + WAWECUS RD,,42.291992,-71.790521,,,,,,0
214,53,BURNCOAT ST + PARKVIEW DR,,42.293498,-71.790601,,,,,,0
215,54,BURNCOAT ST + DAVIDSON RD,,42.294253,-71.790363,,,,,,0
216,55,BURNCOAT ST + BURNCOAT HIGH SCHOOL,,42.29651,-71.789743,,,,,,0
217,56,BURNCOAT ST + 184 BURNCOAT ST,,42.298861,-71.789505,,,,,,0
219,58,BURNCOAT ST + THORNDYKE RD,,42.302676,-71.78949,,,,,,0
220,59,BURNCOAT ST + MONTEREY RD,,42.303368,-71.789521,,,,,,0
221,61,BURNCOAT ST + COVENTRY RD,,42.304266,-71.789458,,,,,,0
223,63,BURNCOAT ST + DEVENS RD,,42.305806,-71.789198,,,,,,0
224,64,BURNCOAT ST + CLARK ST,,42.30681,-71.789013,,,,,,0
225,65,BURNCOAT ST + CHATAM VILLAGE RD,,42.308004,-71.789027,,,,,,0
226,66,BURNCOAT ST + FAIRHAVEN RD,,42.309218,-71.789005,,,,,,0
227,67,BURNCOAT ST + QUINAPOXET LN,,42.31169,-71.789021,,,,,,0
228,68,BURNCOAT ST + INWOOD RD,,42.313079,-71.789185,,,,,,0
229,69,Burncoat St at Ascadilla,,42.313824,-71.789407,,,,,,0
236,750,Mountain St. East + Burncoat St,,42.32375,-71.79205,,,,,,0
237,753,MOUNTAIN ST WEST + MALDEN ST,,42.323817,-71.79458,,,,,,0
246,1264,PULLMAN ST + PRICECHOPPER,,42.323998,-71.797965,,,,,,0
248,4575,JULIO DR + SHREWSBURY COMMONS,,42.292466,-71.704074,,,,,,0
249,4580,SOUTH ST + MAIN ST,,42.295158,-71.703301,,,,,,0
250,4585,MAIN ST + HOLMAN ST,,42.296228,-71.706303,,,,,,0
251,4590,MAIN ST + JOB CUSHING RD,,42.296587,-71.709882,,,,,,0
252,4595,Main St at Boyleston St,,42.296727,-71.713819,,,,,,0
253,4600,MAIN ST + MAPLE ST,,42.29652,-71.714944,,,,,,0
254,4605,MAPLE ST + BRIGHTSIDE AVE,,42.290835,-71.72166,,,,,,0
255,4610,MAPLE ST + OAK ST,,42.285526,-71.728216,,,,,,0
256,4615,MAPLE ST + VAN NESS AVE,,42.282331,-71.733215,,,,,,0
257,4620,MAPLE ST + FAIRLAWN PLAZA,,42.276705,-71.736258,,,,,,0
258,4625,BOSTON TRPK + HARRINGTON AVE,,42.275243,-71.744873,,,,,,0
259,4630,BOSTON TRPK + WHITE CITY,,42.274726,-71.750993,,,,,,0
261,4640,BOSTON TRPK + N. QUINSIGAMOND AVE,,42.27456,-71.752518,,,,,,0
263,1149,UMASS South Rd,,42.275788,-71.761459,,,,,,0
264,931,SHREWSBURY ST + AITCHISON ST,,42.273343,-71.77083,,,,,,0
265,932,SHREWSBURY ST + DANIELS ST,,42.27278,-71.772021,,,,,,0
267,933,SHREWSBURY ST + PRENTICE ST,,42.271373,-71.774978,,,,,,0
268,934,SHREWSBURY ST + IMPERIAL RD,,42.270593,-71.776583,,,,,,0
269,935,SHREWSBURY ST + LARAIA ST,,42.269735,-71.7783,,,,,,0
270,936,SHREWSBURY ST + MARSHALL ST,,42.26879,-71.78012,,,,,,0
271,1268,SHREWSBURY ST + WAITE ST,,42.267366,-71.782798,,,,,,0
273,938,SHREWSBURY ST + COLUMBO PARK,,42.266365,-71.785027,,,,,,0
274,939,SHREWSBURY ST + EAST CENTRAL ST,,42.264364,-71.78881,,,,,,0
275,940,SHREWSBURY ST + HILL ST,,42.263596,-71.790286,,,,,,0
276,1250,SHREWSBURY ST + LEO TUORO WAY,,42.262735,-71.792146,,,,,,0
277,919,SHREWSBURY ST + MULBERRY ST,,42.262469,-71.792622,,,,,,0
278,920,SHREWSBURY ST + HILL ST,,42.26345,-71.790006,,,,,,0
279,921,SHREWSBURY ST + CROSS ST,,42.264506,-71.788051,,,,,,0
280,922,SHREWSBURY ST + FANTASIA DR,,42.266628,-71.783975,,,,,,0
281,923,SHREWSBURY ST + CAMASSA TER,,42.267455,-71.782376,,,,,,0
282,924,SHREWSBURY ST + ENVELOPE TER,,42.26836,-71.780525,,,,,,0
283,925,SHREWSBURY ST + PUTNAM LN,,42.269298,-71.778696,,,,,,0
284,926,SHREWSBURY ST + ADAMS ST,,42.269886,-71.777536,,,,,,0
285,927,SHREWSBURY ST + HECLA ST,,42.27057,-71.776258,,,,,,0
