trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
176060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,59,shp-5-02,0,0
1882060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
2027060,5,1,BROAD MEADOW BROOK >> HUB CENTER,,1,57,shp-5-02,0,0
1926090,5,3,BROAD MEADOW BROOK >> HUB CENTER,,1,38,shp-5-02,0,0
1923020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
2002090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1846020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
2045060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
1683020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1548020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1598020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
254020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
2306060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
452010,5,2,HUB CENTER >> BROAD MEADOW BROOK,,0,28,shp-5-51,0,0
539070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
303060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
831060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
927060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
43060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
920020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
955010,5,2,HUB CENTER >> BROAD MEADOW BROOK,,0,28,shp-5-51,0,0
84070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,50,shp-5-51,0,0
1744070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1853070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1863020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1863060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1916090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1923060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1236070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,50,shp-5-51,0,0
1984090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,50,shp-5-51,0,0
1291070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1621020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1598060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1612090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1548060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1522090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,50,shp-5-51,0,0
145070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1447020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
1470060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
1479090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1306090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,50,shp-5-51,0,0
1373070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1353010,5,2,HUB CENTER >> BROAD MEADOW BROOK,,0,28,shp-5-51,0,0
134010,5,2,HUB CENTER >> BROAD MEADOW BROOK,,0,28,shp-5-51,0,0
1245070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
125020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
125060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
2077070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,50,shp-5-51,0,0
2045020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
920060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
927020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1458010,5,2,HUB CENTER >> BROAD MEADOW BROOK,,0,28,shp-5-51,0,0
2166020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
1846060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
831020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
776090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,50,shp-5-51,0,0
785020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
969090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1683060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
2166060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
303020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
2296010,5,2,HUB CENTER >> BROAD MEADOW BROOK,,0,28,shp-5-51,0,0
2306020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
1447060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
1470020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
257070,5,5,HUB CENTER >> BROAD MEADOW BROOK,,0,50,shp-5-51,0,0
254060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
371010,5,2,HUB CENTER >> BROAD MEADOW BROOK,,0,28,shp-5-51,0,0
66090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
1621060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
740090,5,3,HUB CENTER >> BROAD MEADOW BROOK,,0,38,shp-5-51,0,0
785060,5,1,HUB CENTER >> BROAD MEADOW BROOK,,0,59,shp-5-51,0,0
43020,5,4,HUB CENTER >> BROAD MEADOW BROOK,,0,57,shp-5-51,0,0
880010,5,2,HUB CENTER >> South Plaza Stop & Shop,,0,28,shp-5-52,0,0
1366090,5,3,HUB CENTER >> South Plaza Stop & Shop,,0,38,shp-5-52,0,0
1082070,5,5,HUB CENTER >> South Plaza Stop & Shop,,0,38,shp-5-52,0,0
2313010,5,2,South Plaza Stop & Shop >> HUB CENTER,,1,28,shp-5-01,0,0
194070,5,5,South Plaza Stop & Shop >> HUB CENTER,,1,38,shp-5-01,0,0
477090,5,3,South Plaza Stop & Shop >> HUB CENTER,,1,38,shp-5-01,0,0
604060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
564020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
527060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
1523020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
462090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
754070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
405090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
401070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
416060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
2298060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
1355060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
2189070,6,5,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,50,shp-6-51,0,0
1931090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,50,shp-6-51,0,0
967090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
985060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
933090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,38,shp-6-51,0,0
910060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
1218020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
121020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
985020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
990090,6,3,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,50,shp-6-51,0,0
2198020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
2198060,6,1,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,59,shp-6-51,0,0
1355020,6,4,HUB CENTER >> MOWER ST + 31 MOWER ST,,0,57,shp-6-51,0,0
