route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7,0_2,0_2329357,Washington Heights,0,15,L7P44
7,0_1,0_1329378,Central Hub,1,15,L7P42
6,0_3,0_3329324,Central Hub,1,39,L6P26
5,0_4,0_4329295,Central Hub,1,5,L5P43
4,0_5,0_5329262,Central Hub,1,4,L4P53
7,0_2,0_2329356,Washington Heights,0,7,L7P43
7,0_1,0_1329389,Central Hub,1,7,L7P41
6,0_3,0_3329327,Central Hub,1,39,L6P26
5,0_4,0_4329294,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_5,0_5329257,Central Hub,1,4,L4P53
6,0_2,0_2329323,Central Hub,1,39,L6P26
7,0_1,0_1329352,Washington Heights,0,7,L7P43
5,0_3,0_3329290,Central Hub,1,5,L5P43
5,0_4,0_4329269,Broad Meadow Brook Audobon Center,0,5,L5P45
33,0_5,0_5329236,Central Hub,1,50,L33P68
6,0_2,0_2329322,Central Hub,1,39,L6P26
33,0_5,0_5329239,Leicester Via Main St. Webster Sq.,0,27,L33P57
7,0_1,0_1329355,Washington Heights,0,15,L7P43
5,0_3,0_3329301,Broad Meadow Brook Audobon Center,0,5,L5P45
5,0_4,0_4329268,Broad Meadow Brook Audobon Center,0,5,L5P45
6,0_2,0_2329321,Central Hub,1,39,L6P26
7,0_1,0_1329358,Washington Heights,0,7,L7P44
5,0_3,0_3329288,Central Hub,1,5,L5P43
4,0_4,0_4329259,Central Hub,1,4,L4P53
33,0_5,0_5329226,Leicester Via Main St. Webster Sq.,0,50,L33P58
6,0_2,0_2329320,Central Hub,1,39,L6P26
7,0_1,0_1329353,Washington Heights,0,15,L7P43
5,0_3,0_3329291,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_4,0_4329258,Central Hub,1,4,L4P53
33,0_5,0_5329237,Central Hub,1,8,L33P68
6,0_2,0_2329335,West Tatnuck via Chandler St.,0,39,L6P24
33,0_5,0_5329232,Central Hub,1,27,L33P68
7,0_1,0_1329364,Washington Heights,0,7,L7P43
5,0_3,0_3329302,Broad Meadow Brook Audobon Center,0,5,L5P45
4,0_4,0_4329265,Central Hub,1,4,L4P53
6,0_2,0_2329334,Central Hub,1,33,L6P26
7,0_1,0_1329367,Washington Heights,0,15,L7P43
5,0_3,0_3329297,Central Hub,1,5,L5P43
4,0_4,0_4329264,Central Hub,1,4,L4P53
33,0_5,0_5329235,Central Hub,1,8,L33P68
6,0_2,0_2329333,Central Hub,1,33,L6P26
7,0_1,0_1329354,Washington Heights,0,7,L7P43
5,0_3,0_3329300,Broad Meadow Brook Audobon Center,0,5,L5P45
5,0_4,0_4329271,Broad Meadow Brook Audobon Center,0,5,L5P45
