stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,vehicle_type
0_3646,3646,Millbury St + Endicott St,,42.2511775,-71.8001082,,0,1_3646,,3
0_3647,3647,Millbury St + Lafayette St,,42.2529501,-71.7990399,,0,1_3647,,3
0_1229,1229,Southbridge St at 982,,42.2331806,-71.818546,,0,1_1229,,3
0_808,808,Plantation +  630 Plantation,,42.2921399,-71.7602502,,0,1_808,,3
0_809,809,Plantation St + Notre Dame,,42.2882501,-71.7619899,,0,1_809,,3
0_1000,1000,Stafford St + Eureka St,,42.2366399,-71.8486401,,0,1_1000,,3
0_1239,1239,Upsala Street Apartments,,42.2419607,-71.7949842,,0,1_UpSApt,,3
0_1235,1235,Lincoln Park Towers,Comment,42.2729899,-71.7583302,,0,1_LiPkTw,,3
0_1233,1233,James St + Genesee St,,42.2346101,-71.84981,,0,1_1233,,3
0_1232,1232,Summer St at Kendall,,42.2737011,-71.7967211,,0,1_1232,,3
0_810,810,Pleasant St + Copley Rd,,42.2657901,-71.8230701,,0,1_810,,3
0_812,812,Pleasant St + Linden St,,42.2638199,-71.8063498,,0,1_812,,3
0_813,813,Pleasant St + Ashland St,,42.2639099,-71.8076302,,0,1_813,,3
0_814,814,Pleasant St + West St,,42.2640099,-71.80915,,0,1_814,,3
0_815,815,Pleasant St + Fruit St,,42.2640899,-71.8114498,,0,1_815,,3
0_816,816,Pleasant St + Merrick St,,42.26386,-71.81403,,0,1_816,,3
0_4505,4505,Boston Trpk at Quinsigamond st,,42.2742902,-71.7527795,,0,1_4505,,3
0_817,817,Pleasant St + Russell St,,42.26369,-71.8150401,,0,1_817,,3
0_819,819,Pleasant St + Hudson St,,42.2633899,-71.8180701,,0,1_819,,3
0_854,854,Pleasant St + Cardinal Rd,,42.2785799,-71.8472,,0,1_854,,3
0_4520,4520,MarketPlace Shrewsbury,Comment,42.2763795,-71.7366443,,0,1_MPSHRW,,3
0_1011,1011,Stafford St + Webster Sq,,42.24334,-71.8380701,,0,1_1011,,3
0_1253,1253,Chandler St at Annisquam St,,42.275553,-71.8516699,,0,1_1253,,3
0_1010,1010,Webster Square Plaza,,42.2420515,-71.8398383,,0,1_WebSq,,3
0_1008,1008,Stafford St + Heard St,,42.23979,-71.84296,,0,1_1008,,3
0_1007,1007,Stafford St + Varnum St,,42.23885,-71.84456,,0,1_1007,,3
0_1005,1005,Stafford St + Henshaw St,,42.2375101,-71.84689,,0,1_1005,,3
0_1004,1004,Stafford St + Eureka St,,42.23669,-71.84828,,0,1_1004,,3
0_1244,1244,Pleasant St + Bellevue St,,42.2634399,-71.8164501,,0,1_EPTwrs,,3
0_820,820,Park Ave and Pleasant St,Comment,42.2636301,-71.8193302,,0,1_PkPlsn,,3
0_1001,1001,Stafford St + Grandview St,,42.2359999,-71.84973,,0,1_1001,,3
0_821,821,Pleasant St + Federal Pl,,42.2642901,-71.8205598,,0,1_821,,3
0_822,822,Newton Square,,42.26949,-71.8251001,,0,1_NwtSq,,3
